dilhu,N,,disturbed state
dilihtu,N,,disturbed condition
diliptu,N,,sleeplessness
dilu,N,,(meaning unknown)
dilûtu,N,,bucket
dimātiš,AV,,like towers
dimmatu,N,,wailing
dimtu,N,,tear
dimtu,N,,tower
dīnu,N,,decision,judgement
dipāru,N,,torch
diqāru,N,,large bowl
dišpu,N,,honey
dīšu,N,,(spring) growth
ditalliš,AV,,into ashes
dulbu,N,,plane tree (Platanus orientalis)
dullu,N,,work
dulluhu,AJ,,very distrubed
dullulu,AJ,,oppressed
dullulu,N,,oppression
duluhhû,N,,disturbance
dummuqu,AJ,,favourable,good quality
dumqu,N,,good (thing),goodness,the best of
dunnamû,N,,person of lowly status
dunnu,N,,power
dunnuniš,AV,,very firmly
dunnunu,AJ,,very strong
duppussû,N,,younger brother
durgu,N,,(royal) origin,innermost part
dūru,N,,(city) wall,fortress
dūru,N,,permanence
duruššu,N,,foundation (platform)
duššû,AJ,,abundant
duššupu,AJ,,sweetened,very sweet
ebbu,AJ,,bright,pure
ebēbu,V,,cleanse
ebēhu,V,,belt up
ebertān,AV,,on the opposite bank
ebēru,V,,cross over constantly,cross over,crossing over,make cross over
ebīhu,N,,rope
eblu,N,,cord,rope
ebūru,N,,harvest,summer
eddēšû,AJ,,constantly self-renewing
eddittu,N,,(a kind of thorn-bush)
eddu,AJ,,pointed
edēlu,V,,shut
ēdēnu,AV,,alone
ēdēnu,AJ,,single
ēdēnû,AJ,,sole
edēqu,V,,dress
edēšu,V,,constantly renew,renovate,renovating
edhu,AJ,,(meaning uncertain)
ēdiš,AV,,alone
edlu,AJ,,shut
edû,N,,flood,wave
edû,V,,know
edû,AJ,,known
egalturrû,N,,little palace
egerrû,N,,ominous utterance
egītu,N,,negligence
egû,V,,be negligent,being negligent
ēkallu,N,,palace,palatial hall
ekdu,AJ,,wild
ekēlu,V,,be(come) dark
ekēmu,V,,take away,taking away
ekēpu,V,,be in good time,bring (rain) in good time),come close
ēkīam,QP,,where?
ekletu,N,,darkness
eklu,AJ,,dark
eklu,N,,dark place
ekmu,AJ,,taken away
ekṣiš,AV,,insolently
ēkurru,N,,temple
ela,PRP,,apart from,in absence of
elammakku,N,,(a valuable wood)
Elamtaš,AV,,to Elam
elāniš,AV,,above
elât šamê,N,,zenith
elēlu,V,,purify
elēlu,N,,cheerful song
elēnu,AV,,above,concerning,over,upstream of,upwards
elēnu,PRP,,over
elēnû,AJ,,upper
eleppu,N,,ship
elēpu,V,,(cause to) interlock,increase,mingle
elēṣu,V,,cause to rejoice,make joyful,making joyful,rejoice,rejoicing
eli,PRP,,above,against,concerning,in,more than,on,over,to
eliš,AV,,above,higher value
elītu,N,,deception,that which is above,upper world
ellāmu-,PRP,,before
Ellillatu,N,,(designation of supreme goddess)
Ellilūtu,N,,power of Enlil
ellu,AJ,,pure
ellūtu,N,,(a type of tree)
elû,V,,ascend,ascending,bring up,elevate,embark,go up,haul up,impale,install,make go up,raise up,raise
elû,AJ,,high
elû,AJ,,upper
ēm,PRP,,wherever
emdu,AJ,,joined up
emēdu,V,,converge,dock (a ship),impose,install,lay hands on,reach,resort to,set up,take refuge in
emēqu,V,,pray devoutly
emqu,AJ,,skilled,wise
emūqu,N,,military force,strength
enenna,AV,,now
enēnu,V,,punish
enēqu,V,,suck
enēšu,V,,be(come) weak,weakening
engisû,N,,(a stone)
ennettu,N,,punishment,sin
enšu,N,,weak one
enu,N,,lord
enû,V,,be altered,be changed,change,changing
enūtu,N,,lordship
eperiš,AV,,with earth
eperu,N,,dust,earth,ore
epēšu,V,,allow to carry out,allow to perform,be done,be made,be performed,build,building,constantly do,constantly exercise,do,exercise,fashion,have made,having made,make,making,perform,performing,use
epinnu,N,,(a constellation),(seed) plough
ēpir,N,,provider
ēpiru,N,,provider
epištu,N,,deed,work,workmanship
ēpišu,N,,builder,doer,one who fashions,one who performs
epšu,AJ,,acting,built
eqlu,N,,field,terrain
ēqu,N,,(a cult object)
erbe,NU,,four
erbêšu,AV,,four times
erbu,N,,(sun)set
erbu,N,,income
erbû,N,,locust
erēbu,V,,bring in,enter,entering,make enter,making enter,station
erēhu,V,,attack
erēnu,N,,cedar
ereqqu,N,,cart
erēšu,V,,constantly request,repeatedly request,request
erhāniš,AV,,provocatively
erhu,AJ,,aggressive
erhu,V,,aggressive
eribîš,AV,,like locusts
ēribu,N,,enterer
erinnu,N,,neck-stock
erištu,N,,demand
erīšu,N,,fragrance,scent
eriyātu,N,,cold weather
ermu,N,,cover(ing)
ernittu,N,,triumph
erretu,N,,pigsty,weir
erṣetu,N,,earth,ground,netherworld,territory
eršahungû,N,,(an Emesal cultic prayer)
eršu,N,,bed
eršu,AJ,,wise
ēru,N,,(a tree)
erû,N,,eagle
erû,N,,grindstone
erûtu,N,,fish spawn
esēhu,V,,carve
esēpu,V,,gather together
esēqu,V,,carve,incise
esēru,V,,dam up,enclose
eṣēdu,V,,harvest
eṣemtu,N,,bone
eṣēnu,V,,make smell,smelling
eṣēru,V,,design,design,draw
eṣru,AJ,,designed,drawn
ešertu,N,,shrine
ešēru,V,,advance against,be successful,carry out correctly,cause to move along,direct,get ready,getting right,go straight ahead,leading aright,make prosper,make towards,put in order,putting in order,straighten,straightening,success,sweep
ešītu,N,,(political) disorder,confusion
ešmāhu,N,,great shrine
ešmarû,N,,(a silver alloy)
ešqu,AJ,,massive
ešrû,AJ,,tenth
eššēšu,N,,(a feast day)
eššiš,AV,,anew
eššu,AJ,,new
eššu,N,,new one
eššūtu,N,,newness
ešû,V,,be confused,confuse
ešû,N,,confusion
etʾulu,AJ,,hung up
etelletu,N,,pre-eminent one
etelliš,AV,,as a lord
etellu,N,,pre-eminent one
etēqu,V,,be resettled,be transgressed,break,constantly go past,cross (over),cross over constantly,go past,make cross over,make pass by,making pass by,parade,transgress
etguru,AJ,,interlocking
ētiqu,N,,one who goes past,one who transgresses
ettūtu,N,,spider
eṭemmu,N,,ghost
eṭēru,V,,save,saving,take away
eṭlu,N,,young man
eṭûtu,N,,darkness
ewû,V,,become,make become
ewû,AJ,,changed
ezēbu,V,,abandon,be spared,leave,save,saving,spare
ezēzu,V,,be(come) angry,being angry
ezib,PRP,,apart from
ezziš,AV,,furiously
ezzu,AJ,,furious
gabadibbu,N,,parapet
gabarû,N,,copy,opponent
gabāṣu,N,,contraction
gabbu,N,,the totality
gabbu,N,,totality
gabû,N,,alum
gadamāhu,N,,superior linen garment
galātu,V,,constantly make tremble,make frightening,make tremble,making frightening,tremble
gallu,AJ,,rolling
gallû,N,,(a demon)
galtu,AJ,,fearsome
gamālu,V,,come to an agreement,spare
gamarru,N,,infantry
gamāru,V,,bring to conclusion,brought to conclusion,destroy,render
gāmilu,AJ,,merciful
gāmiru,N,,one who brings to conclusion
gāmiru,N,,strong one
gāmirūtu,N,,strength
gamlu,N,,bent stick (as projectile)
gamlu,AJ,,spared
gammalu,N,,camel
gamru,AJ,,complete
gamru,N,,totality
gangannu,N,,potstand
ganūnu,N,,private chamber,storeroom
ganzer,N,,underworld
gapāšu,V,,be(come) proud,be(come)ing swollen,swell number of
gapnu,N,,bush
gapšiš,AV,,in spate
gapšu,AJ,,arisen,numerous
gaṣṣu,N,,gypsum
gaširūtu,N,,appurtenances
gašīšiš,AV,,on stakes
gašīšu,N,,stake
gašru,AJ,,very strong
gašru,N,,very strong one
gattu,N,,form
gegunnû,N,,raised temple
gerrānu,N,,wailing
gerru,N,,(religious) procession,(troops on) campaign,campaign,road,way
gērû,N,,enemy
gerû,V,,be(come) hostile
gidubbû,N,,stylus
gildu,N,,(animal) hide
gilittu,N,,terror
gillatu,N,,sin
gimillu,N,,friendly deed,requital
gimirtu,N,,totality
gimru,N,,all,totality
ginû,N,,regular offering
gipāru,N,,pastureland
gipšu,N,,mass,massed body
gipšūtu,N,,multitude
girim hilibê,N,,(a precious stone)
girimmu,N,,(a precious stone)
gīriš,AV,,like fire
gīriš,AV,,like fire
girtablilu,N,,scorpion-man
girû,N,,(meaning unknown)
gīru,N,,fire
gisgallu,N,,station (of stars),station
giskimmu,N,,sign
giṣṣu,N,,thorn(-bush)
gišginîš,AV,,like a clamp?
gišhurru,N,,design,plan
gišimmaru,N,,date palm
gišmahhu,N,,long beam
gišparru,N,,trap
gišru,N,,(wooden) bar
gištallu,N,,cross-bar
gištappu,N,,footstool
gištû,N,,cross-bar
gitmālu,AJ,,equal,perfect
gitmālu,N,,perfect one
gubbu,N,,cistern
gugallu,N,,irrigation controller
guhaššu,N,,wire
guhlu,N,,antimony
gulgullu,N,,skull
gullubu,V,,shave
gullultu,N,,sin
gullulu,V,,sin
gullutu,AJ,,frightened
gumāhu,N,,prize bull
gummuru,AJ,,being in control of,complete
gunnu,N,,(of troops) main force?
gupnu,N,,tree(-trunk)
gupšu,N,,surge
guqqû,N,,(a monthly offering)
gurgūgu,N,,roller
gušūru,N,,beam,tree-trunk
hāʾiṭu,N,,watcher
habābu,V,,make gurgle,make noise
habālu,V,,do wrong,wrongdoing
habāru,V,,make thick
habātu,V,,constantly loot,loot,looting
habbātu,N,,plunderer
habbūru,N,,sprout
hābilu,N,,criminal
habṣu,AJ,,fertile
habtu,AJ,,robbed
habû,V,,draw (water)
hābû,N,,(a storage jar)
hadādu,V,,incise deeply
hadîš,AV,,happily
hādû,N,,(malevolent) rejoicing
hādû,N,,happy person
hadû,V,,be joyful
hadû,V,,be(come) joyful
hadû,N,,joy
hadû,AJ,,rejoicing
hakāmu,V,,be understood
halālu,V,,make murmur
halāpu,V,,clothe someone with,creep into repeatedly,overlay,slip into
halāqu,V,,destroy,destroying,destruction,escape
halhallatu,N,,(a kind of) drum
hālilu,N,,(meaning uncertain)
hallālāniš,AV,,like a centipede
hallu,N,,(upper) thigh
halpu,AJ,,clad in
halpû,N,,frost
halqu,N,,runaway
halṣu,N,,fortress
hâlu,V,,melting (away)
hamadīru,AJ,,withered
hamâtu,N,,help
hamāṭu,V,,burn (up),burn up
hamāṭu,V,,be brought early,hasten,make hasten
hāmimu,N,,one who gathers (to oneself)
hammāʾu,N,,rebel,usurper
hammu,AJ,,gathered (to oneself)
hammūtu,N,,function of family head
hamšā,NU,,fifty each
hamšīšu,AV,,five times
hamšu,AJ,,fifth
hamṭiš,AV,,quickly
hamṭu,AJ,,quick
hāmū,N,,chaff
hamuttu,N,,haste
hanābu,V,,make grow luxuraintly,make grow luxuriantly
handūru,N,,spur?
harābu,V,,devastate
harāṣu,V,,excavate,reduce
harāšu,V,,bring together
harbiš,AV,,like a wasteland
hargallu,N,,locking ring
harharru,N,,chain
harīṣu,N,,(city) ditch,moat
harištu,N,,woman in confinement
harpū,N,,(early) autumn
harrānu,N,,campaign,path,way
harru,N,,water channel
harṭibi,N,,(Egyptian) diviner
harû,N,,(a large container)
harû,N,,(a sanctuary)
hasāpu,V,,tear off
hasāsu,V,,be conscious,being conscious,constantly remember,remember,remind,think about
hasīsu,N,,ear,wisdom
hāsisu,N,,one who remembers,one who understands
hassu,AJ,,clever,conceived,mindful,remembered
haṣabtu,N,,potsherd
haṣānu,V,,take under one's protection
haṣāṣu,V,,snap off
haṣbattiš,AV,,like a pottery bowl
haṣbattu,N,,(a pottery bowl)
haṣbu,N,,pottery
hašādu,N,,wedding
hašāhu,V,,desire,need
hašālu,V,,make crush
hašhu,AJ,,desired
hašlu,N,,bruised grain
haštu,N,,(a kind of stone)
hašû,N,,lung(s)
hašūru,N,,(a kind of cypress)
hatanu,N,,in-law
hatānu,V,,protect
hātinu,N,,protector
hātu,N,,terror
hatû,V,,(meaning unclear)
hatû,V,,(meaning unknown)
haṭāmu,V,,block,muzzling
haṭṭāʾu,N,,wrong doer
haṭṭu,N,,sceptre
haṭû,V,,be neglectful,commit,do wrong,violate,wrongdoing
hāwiru,N,,husband
hayyāṭu,N,,spy
hazannu,N,,mayor
helû,V,,illuminate,shine brightly
hengallu,N,,plenty
hepēru,V,,dig
hepû,V,,breaking,destroy,destroying
herṣu,N,,incarnation
herû,V,,dig,digging,make dig
hesû,V,,break up (mountain with pickaxes)
hetennu,N,,(wooden part of chariot)
hiʾālu,N,,(a kind of military force)
hiālu,V,,be in pain
hiāšu,V,,hurry
hiāṭu,V,,check,seek out
hibiltu,N,,damage(s),damaged parts,wrongdoing
hibištu,N,,crushed pieces (of aromatic wood)
hidiātu,N,,joy
hidûtu,N,,joy
hilāni,N,,portico(ed building)
hilēpu,N,,willow
hilibû,N,,the underworld
hillu,N,,disturbance
himētu,N,,ghee
himmatu,N,,matter blown together
himtu,N,,leather skin
hīpu,N,,break(age)
hirītu,N,,canal
hīrtu,N,,(equal ranking) wife
hirûtu,N,,(act of) excavation
hissatu,N,,mention,understanding
hiṣbu,N,,plenty,yield
hišihtu,N,,requirement,useful object
hiššāʾum,N,,thoroughbred
hitbuṣu,AJ,,very joyful
hitlupu,AJ,,clad in,intertwined
hitmuṭiš,AV,,very quickly
hittu,N,,lintel
hiṭītu,N,,crime
hīṭītu,N,,crime
hīṭu,N,,crime,penalty
hīṭu,AJ,,investigated
hubtu,N,,plunder
huddudu,AJ,,deep
huddudu,N,,deeply incised
hūdu,N,,happiness
huhāriš,AV,,as with a bird-snare
hulālu,N,,(a valuable stone)
hulaptu,N,,equipment
huliam,N,,helmet
hullu,N,,neck ring
huluqqāʾu,N,,(commercial) loss
humṣīru,N,,(large) mouse
huppalû,N,,mace
hupšiš,AV,,as a plebeian
hupšu,N,,rabble
hurādu,N,,soldier
hurāpu,N,,spring lamb
hurāṣu,N,,gold
hurbāšu,N,,terror
huribtu,N,,desert
hurru,N,,ravine
hurrušu,AJ,,bound
huršāniš,AV,,like a mountain
huršānu,N,,mountain(s)
huruppu,N,,(metal) dish
huṣābu,N,,twig
huṣannu,N,,belt
hušahhu,N,,need
huššû,AJ,,red
ibbû,N,,loss
ibilu,N,,camel
ibru,N,,friend
ibrūtu,N,,friendship
Idiqlatiš,AV,,to the Tigris
idu,N,,arm,side
idugallu,N,,head doorkeeper
igāru,N,,wall
igigallu,N,,wise man
igigallūtu,N,,wisdom
igirû,N,,heron
