tlemma+rlemma+slemma,ruler,count
šadādu+ana+muhhu,Ashurbanipal,1
šakānu+ina+libbu,Sennacherib,1
šakānu+ina+libbu,Esarhaddon or Ashurbanipal,1
šakānu+ana+šēpu,Esarhaddon,1
šakānu+ana+pû,Sennacherib,1
šakānu+ana+muhhu,Sennacherib,1
šakānu+ana+muhhu,Sargon II or Sennacherib,1
paqādu+ina+muhhu,Ashurbanipal,1
šakānu+ana+libbu,Esarhaddon,1
šaknu+ina+pānu,Esarhaddon or Ashurbanipal,1
šaknu+ina+libbu,Esarhaddon,1
šaknu+ana+muhhu,Esarhaddon,1
šadādu+ina+muhhu,Ashurbanipal,1
zêru+ina+muhhu,Ashurbanipal,1
wadû+ištu+rēšu,Sargon II,1
zêru+ana+muhhu,Esarhaddon,1
ziāqu+ana+muhhu,Ashurbanipal,1
zaqāpu+ina+rēšu,Esarhaddon,1
zaqāpu+ina+muhhu,Tiglath-pileser III,1
zamāru+ina+pānu,Esarhaddon,1
zakāru+ina+muhhu,Esarhaddon,1
zakû+ina+libbu,Sargon II,1
zabālu+ina+muhhu,Esarhaddon or Ashurbanipal,1
yānu+ištu+rēšu,Ashurbanipal,1
yānu+ina+pānu,Sargon II,1
yānu+ina+pānu,Esarhaddon,1
yānu+ina+libbu,Ashurbanipal,1
šakānu+ana+libbu,Tiglath-pileser III,1
nadû+ana+libbu,Ashurbanipal,1
paqādu+ina+libbu,Esarhaddon or Ashurbanipal,1
epēšu+ana+libbu,Ashurbanipal,1
elû+ana+pānu,Ashurbanipal,1
elû+ina+muhhu,Esarhaddon,1
elû+ina+muhhu,Esarhaddon or Ashurbanipal,1
elû+ina+qātu,Esarhaddon,1
elû+ina+qātu,Tiglath-pileser III,1
elû+ištu+muhhu,Sargon II,1
emēdu+ina+libbu,Tiglath-pileser III,1
epēšu+ana+muhhu,Sargon II,1
elû+ana+muhhu,Esarhaddon,1
epēšu+ana+muhhu,Tiglath-pileser III,1
epēšu+ana+pû,Sennacherib,1
epēšu+ina+muhhu,Ashurbanipal,1
epēšu+ina+muhhu,Esarhaddon or Ashurbanipal,1
epēšu+ina+pānu,Ashurbanipal,1
epēšu+ina+pūtu,Esarhaddon,1
epēšu+ina+qātu,Ashurbanipal,1
elû+ana+muhhu,Tiglath-pileser III,1
elû+ana+libbu,Sennacherib,1
epšu+ina+muhhu,Ashurbanipal,1
danānu+ina+muhhu,Ashurbanipal,1
dabābu+itti+ahu,Ashurbanipal,1
dabābu+itti+libbu,Ashurbanipal,1
dabābu+itti+libbu,Esarhaddon,1
dagālu+ina+pānu,Ashurbanipal,1
dagālu+ina+pānu,Esarhaddon or Ashurbanipal,1
dagālu+ina+pānu,Tiglath-pileser III,1
dagālu+ina+pānātu,Tiglath-pileser III,1
daʾāpu+ina+pānātu,Esarhaddon or Ashurbanipal,1
ellu+ištu+qātu,Ashurbanipal,1
daʾāpu+ištu+libbu,Sargon II,1
dekû+ana+šulmu,Tiglath-pileser III,1
dekû+ina+qātu,Ashurbanipal,1
dâku+ina+libbu,Ashurbanipal,1
ebēru+ana+muhhu,Tiglath-pileser III,1
ebēru+ina+muhhu,Tiglath-pileser III,1
ekēmu+ina+qātu,Ashurbanipal,1
epēšu+ištu+muhhu,Sargon II,1
erēbu+ana+libbu,Esarhaddon or Ashurbanipal,1
paqādu+ana+pānu,Sargon II,1
ezēbu+ištu+qātu,Ashurbanipal,1
etēqu+ina+muhhu,Ashurbanipal,1
etēqu+ina+muhhu,Tiglath-pileser III,1
etēqu+ina+pānu,Ashurbanipal,1
etēqu+ina+pānu,Esarhaddon,1
etēqu+ištu+pānu,Esarhaddon,1
etēqu+ištu+pānu,Tiglath-pileser III,1
ezēbu+ištu+libbu,Ashurbanipal,1
gamru+ina+pānātu,Tiglath-pileser III,1
etēqu+ana+muhhu,Esarhaddon,1
habālu+ina+qātu,Ashurbanipal,1
habātu+ištu+libbu,Esarhaddon,1
habātu+ištu+muhhu,Tiglath-pileser III,1
hakāmu+ina+libbu,Ashurbanipal,1
halāqu+ana+pānu,Ashurbanipal,1
halāqu+ana+pānu,Esarhaddon,1
halāqu+ina+libbu,Ashurbanipal,1
etēqu+ana+pānu,Tiglath-pileser III,1
esēhu+ina+muhhu,Esarhaddon,1
erēbu+ana+libbu,Sargon II,1
erēbu+ina+muhhu,Esarhaddon or Ashurbanipal,1
erēbu+ana+muhhu,Ashurbanipal,1
erēbu+ana+muhhu,Tiglath-pileser III,1
erēbu+ana+pānu,Ashurbanipal,1
erēbu+ana+pānu,Sargon II,1
erēbu+ana+pānu,Sennacherib,1
erēbu+ina+libbu,Ashurbanipal,1
erēbu+ina+libbu,Esarhaddon or Ashurbanipal,1
erēbu+ina+muhhu,Sargon II,1
esru+ina+libbu,Ashurbanipal,1
erēbu+ina+muhhu,Tiglath-pileser III,1
erēbu+ina+pānu,Tiglath-pileser III or Sargon II,1
erēbu+ina+šulmu,Esarhaddon,1
erēbu+ina+šulmu,Sargon II,1
erēbu+ina+šulmu,Sennacherib,1
erēbu+ištu+pānu,Tiglath-pileser III,1
erēšu+ina+libbu,Tiglath-pileser III,1
dabābu+ina+pānu,Tiglath-pileser III,1
dabābu+ina+pû,Tiglath-pileser III,1
dabābu+ina+pû,Esarhaddon,1
alāku+ištu+muhhu,Esarhaddon or Ashurbanipal,1
alāku+ina+pānu,Sennacherib,1
alāku+ina+pānātu,Ashurbanipal,1
alāku+ina+pānātu,Esarhaddon,1
alāku+ina+pānātu,Esarhaddon or Ashurbanipal,1
alāku+ina+qātu,Ashurbanipal,1
alāku+ina+šēpu,Esarhaddon,1
alāku+ištu+libbu,Esarhaddon or Ashurbanipal,1
alāku+ištu+pānu,Esarhaddon,1
alāku+ina+muhhu,Ashurbanipal,1
alāku+ištu+pānu,Tiglath-pileser III,1
amru+ina+pānu,Sargon II,1
amāru+ana+muhhu,Ashurbanipal,1
amāru+ina+muhhu,Ashurbanipal,1
amāru+ina+muhhu,Esarhaddon,1
amāru+ina+muhhu,Esarhaddon or Ashurbanipal,1
amāru+ina+pānu,Esarhaddon,1
alāku+ina+pû,Ashurbanipal,1
alāku+ana+šulmu,Sargon II,1
dabābu+ina+pû,Ashurbanipal,1
akālu+ina+muhhu,Esarhaddon or Ashurbanipal,1
abāku+ana+pānu,Esarhaddon,1
abāku+ana+pānu,Sargon II,1
abāku+ana+qātu,Ashurbanipal,1
abāku+ina+muhhu,Sargon II or Sennacherib,1
abāku+ina+muhhu,Tiglath-pileser III,1
adāru+ana+muhhu,Tiglath-pileser III,1
akālu+ina+libbu,Esarhaddon,1
akālu+ina+pānu,Ashurbanipal,1
alāku+ana+šulmu,Ashurbanipal,1
akālu+ina+šulmu,Esarhaddon,1
akālu+ištu+pānu,Esarhaddon or Ashurbanipal,1
akāšu+ina+libbu,Ashurbanipal,1
alāku+ana+ahu,Ashurbanipal,1
alāku+ana+libbu,Ashurbanipal,1
alāku+ana+muhhu,Sennacherib,1
alāku+ana+pānu,Esarhaddon or Ashurbanipal,1
amāru+ina+qātu,Esarhaddon or Ashurbanipal,1
amāru+ina+šulmu,Esarhaddon,1
amāru+itti+šēpu,Ashurbanipal,1
balṭu+ištu+muhhu,Ashurbanipal,1
aṣû+ina+muhhu,Tiglath-pileser III,1
aṣû+ina+pû,Sargon II,1
aṣû+ina+pānu,Ashurbanipal,1
aṣû+ina+pānu,Esarhaddon,1
aṣû+ištu+libbu,Esarhaddon or Ashurbanipal,1
aṣû+ištu+pû,Esarhaddon or Ashurbanipal,1
aṣû+ištu+pānu,Esarhaddon,1
bašû+ina+muhhu,Tiglath-pileser III,1
apālu+ana+muhhu,Ashurbanipal,1
bašû+ina+qātu,Ashurbanipal,1
buʾʾû+ina+qātu,Tiglath-pileser III,1
bâšu+ina+pānu,Esarhaddon or Ashurbanipal,1
dabābu+ana+muhhu,Esarhaddon or Ashurbanipal,1
dabābu+ana+muhhu,Sargon II,1
dabābu+ina+muhhu,Sargon II,1
dabābu+ina+muhhu,Tiglath-pileser III,1
aṣû+ina+muhhu,Esarhaddon or Ashurbanipal,1
aṣû+ina+muhhu,Esarhaddon,1
aṣû+ina+muhhu,Ashurbanipal,1
aṣû+ina+libbu,Esarhaddon or Ashurbanipal,1
arādu+ana+libbu,Ashurbanipal,1
arādu+ina+libbu,Esarhaddon,1
arādu+ina+muhhu,Esarhaddon or Ashurbanipal,1
arāhu+ina+qātu,Tiglath-pileser III,1
ašābu+ina+libbu,Sargon II,1
