term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
Duranki,L1087163,L1087163,,,pn,name for the city of Nippur;name of the god Enlil,,,,,,,2;242,,79,,,,,,,,
Esarhaddon,L1087164,L1087164,,,pn,king of Assyria (r. 680-669 BCE),,,,,,,,,,,,,,,,,
kišād nāri,L1087169,L1087169,,,noun,river bank,,,,,K 449,,,,,,,,,,,,
Ningirsu,L1087171,L1087171,,,pn,tutelary god of Lagash and Girsu,,,,,,,9;512,,251,Ninurta,,,,,,,
Šamaš-šumu-ukin,L1087173,L1087173,,,pn,king of Babylon (r. 667-648 BCE),,,,,,,11;618,,,,,,,,,,
šanû,L1088237,,,,adj,another;strange;inimical;evil;different,,,356,II,,,,,,,MAN,,šaniu,,,,
šanû,L1088238,,,,verb,do twice,G,,356,III,,,,,,šanā'u,,,,,,,
šanû,L1088239,,,,verb,alienate;be(come) changed;be(come) different;change,G,,,,,,,,,,,,,,,,
šanû,L1088240,,,,verb,be changed;become different,G,,356,IV,,,,,,šanā'u,MAN,,,,,,
šanû,L1088241,,,,adj,second;next,,,355,I,,,,,,,2.KAM;2.KAM.MA,,šaniu,,,,
šanû,L1088242,,,,noun,deputy,,,355,I,,,,,,,LU₂.2,,šaniu,,,,
šanû,L1088243,,,,verb,run,G,,356,V,,,,,,,LU₂.2,,šaniu,,,,
šanû,L1088244,,,,verb,sluice;apply water to,G,,356,VI,,,,,,,LU₂.2,,šaniu,,,,
sapādu,L1088245,,,,verb,mourn,G,,316,,,,,,,,,,,,,,
sapāru,L1088246,,,,noun,(deity's) net,,,317,,,,,,,,SA.PAR₃,,,,,,
šapālu,L1088247,,,,verb,be deep;be low,G,,356,,,,,,,,KI.TA;SIG;BUR₃,,,,,,
šapāru,L1088248,,,,verb,send message;send; write to,G,,357,,,,,,,,KIN,,,,,,
šapāṣu,L1088249,,,,verb,clasp;grip,G,,357,,,,,,,šabāṣu;šapāsu;sabāṣu,,,,,,,
šaplānu,L1088250,,,,adv,underneath;downstream,,,357,,,,,,,,KI.TA,,,,,,
šaplānu,L1088251,,,,prep,under;downstream from,,,357,,,,,,,,KI.TA,,,,,,
šaplu,L1088252,,,,adj,low;lowly,,,358,,,,,,,,,,,,,,
šaplu,L1088253,,,,noun,underside;bottom,,,358,,,,,,,,KI.TA,,,,,,
šaptu,L1088254,,,,noun,lip;rim,,,358,,,,,,,šabdu,NUNDUM;SUN₄,,,,,,
šaqû,L1088255,,,,verb,be high;be elevated,G,,359,II,,,,,,,LAL;NIM;E₁₁;AN.TA,,,,,,
šaqû,L1088256,,,,verb,give to drink;irrigate,G,,359,III,,,,,,,NAG,,,,,,
šaqû,L1088257,,,,adj,high;elevated,,,359,I,,,,,,,LAL;AN.TA.GAL₂,,,,,,
šaqû,L1088258,,,,adj,irrigated,,,359,IV,,,,,,,,,,,,,
šaqummatu,L1088259,,,,noun,deathly hush,,,359,,,,,,,šuqummatu,,,,,,,
šaqummatu,L1088260,,,,verb,cast silence over,ŠD,,359,,,,,,,šuqummatu,,,,,,,
šaqummu,L1088261,,,,adj,quite silent;secluded,,,359,,,,,,,,,,,,,,
ṣarāhu,L1088262,,,,verb,heat up,G,,360,III,,,,,,,,,,,,,
ṣarāhu,L1088263,,,,verb,light up;flare up,G,,360,III,,,,,,,SUR,,,,,,
ṣarāhu,L1088264,,,,verb,wail;complain,G,,360,I,,,,,,,SUR,,,,,,
sarāmu,L1088265,,,,verb,cut open,G,,317,,,,,,,,,,,,,,
šarāmu,L1088266,,,,verb,trim;peel off,G,,360,,,,,,,,,,,,,,
ṣarapu,L1088267,,,,verb,be loud,G,,334,II,,,,,,,,,,,,,
ṣarāpu,L1088268,,,,verb,burn;fire;dye,G,,334,I,,,,,,ṣarābu,,,,,,,
ṣarhu,L1088269,,,,adj,hot,,,334,I,,,,,,,,,,,,,
sariānu,L1088270,,,,noun,armor,,,318,,,,,,,sariam;šeriam;šir'am;šir'annu,,,,,,,yes
šarmu,L1088271,,,,adj,trimmed,,,360,,,,,,,,,,,,,,
ṣarpu,L1088272,,,,adj,burnt;reddened;refined,,,334,,,,,,,,,,,,,,
ṣarpu,L1088273,,,,noun,silver,,,334,,,,,,,,,,,,,,
šurru,L1088274,,,,verb,bend forwards;go down,D,,388,,Š/3 356,,,,,,,,,,,,
šarrūtu,L1088275,,,,noun,kingship;reign,,,361,,,,,,,,NAM.LUGAL;NAM.MAN,,,,,,
šārtu,L1088276,,,,noun,hair;wool;pelt,,,361,,,,,,,,SIKI;SIKI.UZ₃;MUNSUB;MUNSUB₂,,,,,,
sâru,L1088277,,,,verb,dance;rotate,G,,318,,,,,,,,,,,,,,
šāru,L1088278,,,,noun,wInd;breath,,,361,,,,,,,,IM,,,,,,
šasû,L1088279,,,,verb,shout;call out;read out,G,,362,,,,,,,,GU₃;DE₂;GU₃.DE₂,,,,,,
šaṭāru,L1088280,,,,noun,written document;exemplar;copy,,,364,I,,,,,,,,,,,,,
šaṭāru,L1088281,,,,verb,write;register,G,,364,II,,,,,,,,,,,,,
sattuku,L1088282,,,,noun,regular delivery;regular offering,,,319,,,,,,,šatukku;šantukku;satakku,SA₂.DU₁₁,,,,,,
šatû,L1088283,,,,verb,drink;be watered,G,,363,II,,,,,,,NAG,,,,,,
še'û,L1088284,,,,verb,seek out,G,,369,,,,,,,šê'u,,,še'ā'u,,,,
sêdu,L1088285,,,,verb,support;assist,G,,320,,,,,,,,,,,,yes,,
sekēru,L1088286,,,,verb,heat in an oven,G,,320,II,,,,,,,,,,,,,
sekēru,L1088287,,,,verb,shut off;block up,G,,320,I,,,,,,,UŠ₂,,,,,,
šêlu,L1088288,,,,verb,sharpen;whet,,,366,,,,,,,,,,,,,,
šēlu,L1088289,,,,adj,sharpened,,,366,,,,,,,,,,,,,,
ṣerru,L1088290,,,,noun,snake,,,336,,,,,,,ṣēru;ṣīru,MUŠ,,,,,,
šeršerratu,L1088291,,,,noun,chain;set of rings,,,368,,,,,,,šeršerratu,URUDU.ŠER₃.ŠER₃,,šaršarratu,,,,
šērtu,L1088292,,,,noun,guilt;punishment,,,368,,,,,,,šīrtu,NIR.DA,,,,,,
šērtu,L1088293,,,,noun,morning,,,368,,,,,,,šīrtu,A₂.GU₂.ZI.GA,,,,,,
šêṭu,L1088294,,,,verb,miss (accidentally);neglect;despise;commit crime,G,,369,,,,,,,,,,,,,,
šētu,L1088295,,,,noun,web,,,369,,,,,,,,GIŠ.SA,,,,,,
ṣētu,L1088296,,,,noun,bright light;heat,,,337,,,,,,,,UD.DA,,,,,,
šiāhu,L1088297,,,,verb,grow tall,G,,369,,,,,,,šâhu,,,,,,,
siāqu,L1088298,,,,verb,be(come) narrow,G,,321,,,,,,,sâqu,,,,,,,
šiāru,L1088299,,,,noun,morning;tomorrow,,,370,,,,,,,šiyāru;šeāru,,,,,,,
šibqu,L1088300,,,,noun,scheme;plan;trick,,,370,,,,,,,,,,,,,,
ṣibtu,L1088301,,,,noun,seizure,,,337,I,,,,,,,DAB;MAŠ₂;I₃.DAB,,,,,,
ṣibtu,L1088302,,,,noun,increment;interest,,,337,II,,,,,,,MAŠ₂,,,,,,
ṣibtu,L1088303,,,,noun,garment (especially for deities),,,337,III,,,,,,,,,,,,,
šigaru,L1088304,,,,noun,neck-stock;door lock;clamp,,,371,,,,,,,sigaru,GIŠ.SI.GAR,,,,,,
ṣillu,L1088305,,,,noun,protection;shade;shelter,,,338,,,,,,,,GIŠ.MI,,,,,,
simtu,L1088306,,,,noun,characteristic;appropriate symbol,,,323,,,,,,,,ME.TE,,,,,,
Sin,L1088307,,,,noun,the main moon god of Mesopotamia;moon,,,324,,,,,,,Sê;Sî,DINGIR.EN.ZU;DINGIR.3(u),,,,,,
šinnu,L1088308,,,,noun,tooth,,,375,,,,,,,,ZU₂,,,,,,
siparru,L1088309,,,,noun,bronze;fetters,,,324,,,,,,,,ZABAR,,,,,,
šipātu,L1088310,,,,noun,wool;fleece,,,375,,,,,,,šūpātu,SIKI₂,,,,,,
šipru,L1088311,,,,noun,sending;mission;work,,,376,,,,,,,,KIN,,,,,,
šiptu,L1088312,,,,noun,incantation;spell,,,376,,,,,,,,EN₂;TU₆,,,,,,
šipṭu,L1088313,,,,noun,judgement;verdict,,,376,I,,,,,,,,,,,,,
šipṭu,L1088314,,,,noun,threat;strict order;reprimand,,,376,II,,,,,,,,,,,,,
sû,L1088315,,,,noun,a hard stone,,,325,,,,,,,,,,,,,,
ṣubbu,L1088316,,,,noun,observe from a distance;inspect;look at,,,340,,,,,,,ṣabbû,,,,,,,
ṣūdu,L1088317,,,,adj,spinning,,,340,I,,,,,,,IGI.NIGIN.NA,,,,,,
ṣūdu,L1088318,,,,noun,molten metal,,,340,II,,,,,,,,,,,,,
šuglû,L1088319,,,,adj,deported,,,380,,,,,,,šaglû,,,,,,,
šukênu,L1088320,,,,verb,prostrate oneself,,,381,,,,,,,,KA.ZA.ZA,,,,,,
šuklulu,L1088321,,,,adj,perfect;uncastrated,,,381,,,,,,,,,,,,,,
šuklulu,L1088322,,,,verb,complete;create perfectly,Š,,382,,,,,,,,,,,,,,
sullû,L1088323,,,,verb,pray to;appeal to,D,,327,,,,,,,,,,,,,,
sullû,L1088324,,,,noun,impudence;deception,,,327,,,,,,,,,,,,,,
šulmu,L1088325,,,,noun,completeness;well-being,,,383,,,,,,,,DI,,,,,,
lamādu,L1088326,,,,verb,learn;come to know;understand,G,,176,,,,,,,,ZU,,,,,,
šūlūtu,L1088327,,,,noun,garrison,,,383,,,,,,,,,,,,,,
šūlû,L1088328,,,,adj,brought out;raised;removed,,,383,,,,,,,,,,,,,,
šumēlu,L1088329,,,,noun,the left,,,383,,,,,,,šumīlu,GUB₃;A₂.GUB₃.BU;150,,,,,,
summu,L1088330,,,,noun,(male) dove;pigeon,,,328,,,,,,,,TU.MUŠEN,,,,,,
šumu,L1088331,,,,noun,name;son;line of text,,,384,,,,,,,,MU,,,,,,
sūnu,L1088332,,,,noun,sash,,,328,II,,,,,,,TUG₂.UR₂;TUG₂.TUN₃,,,,,,
sūnu,L1088333,,,,noun,loin;lap,,,328,I,,,,,,,,,,,,,
šupêlu,L1088334,,,,verb,exchange,ŠD,,386,,,,,,,,ŠU.BAL,,,,,,
ṣupru,L1088335,,,,noun,fingernail;footnail;hoof;claw,,,341,,,,,,,,UMBIN,,,,,,
supû,L1088336,,,,noun,prayer;supplication,,,328,,,,,,,,SISKUR₂,,,,,,
suppû,L1088337,,,,verb,pray;supplicate,D,,328,II,,,,,,,SISKUR₂,,,,,,
šurpu,L1088338,,,,noun,burning;incineration,,,388,,,,,,,,,,,,,,
Šurpu,L1088339,,,,pn,anti-witchcraft compendium,,,,,,,13;329,,,,,,,,,,
ṣurrupu,L1088340,,,,adj,refined,,,342,,,,,,,,,,ṣarrupu,,,,
šuruppu,L1088341,,,,noun,frost;cold fit,,,389,,,,,,,šurpû,A.ZA.AD;AŠ.RU,,,,,,
šūtu,L1088342,,,,noun,south wind;south,,,391,II,,,,,,,IM.U₁₈.LU;IM.1,,,,,,
šūzubu,L1088343,,,,adj,saved;rescued,,,391,,,,,,,,,,,,,,
ṭabāhu,L1088344,,,,verb,slaughter,G,,412,,,,,,,,,,,,,,
tabāku,L1088345,,,,verb,pour our;lay flat,G,,392,,,,,,,,DUB,,,,,,
ṭābtu,L1088346,,,,noun,goodness;good deed,,,412,,,,,,,,DUG₃.GA;MUN,,,,,,
ṭabtu,L1088347,,,,noun,salt,,,412,,,,,,,,MUN;DU₁₀,,,,,,
ṭābu,L1088348,,,,adj,good;sweet,,,412,,,,,,,,DUG₃.GA,,,,,,
tahūmu,L1088349,,,,noun,territory;boundary,,,394,,,,,,,tahhūmu;tuhūmu,,,,,,,
takālu,L1088350,,,,verb,trust;rely on,,,394,,,,,,,,NIR.GAL₂;GI,,,,,,
tamšīlu,L1088351,,,,noun,image;likeness;equivalent,,,397,,,,,,,tanšīlu,,,,,,,
tiāmtu,L1088352,,,,noun,sea;lake,,,405,,,,,,,tâmtu;têmtu;tâmdu;tându;tâwatu;tâmatu,A.AB.BA,,,,,,
tamû,L1088353,,,,adj,having sword;cursed;bewitched,,,397,I,,,,,,,,,,,,,
tamû,L1088354,,,,verb,swear;be cursed,G,,397,II,,,,,,tamā'u;temû;ta'û,,,,,,,
ṭapālu,L1088355,,,,verb,slander;insult,G,,412,,,,,,,,,,,,,,
taqānu,L1088356,,,,verb,be secure;in good order,G,,399,,,,,,,,,,,,,,
ṭarādu,L1088357,,,,verb,send off;dispatch,G,,413,,,,,,,,SAR,,,,,,
tarāku,L1088358,,,,verb,be dark;pound,G,,399,,,,,,,,GE₆;DUB₂,,,,,,
tarānu,L1088359,,,,noun,roof;shelter,,,399,,,,,,,,,,,,,,
tarbaṣu,L1088360,,,,noun,animal stall;courtyard,,,401,,,,,,,,TUR₃,,,,,,
tarbû,L1088361,,,,noun,trainee;alumnus,,,400,,,,,,,,BULUG₃,,,,,,
tartānu,L1088362,,,,noun,deputy;field marshal;principal military officer,,,401,,,,,,,turtānu;turtannu;tartannu,,,,,,,yes
tāru,L1088363,,,,noun,child minder,,,401,,,,,,,,,,,,,,
tarmāṣu,L1088364,,,,noun,butterfly,,,400,,,,,,,,,,,,,,
tê'u,L1088365,,,,verb,cover up,G,,405,,,,,,,,,,,,,,
tebû,L1088366,,,,verb,arise;set out,G,,403,,,,,,,,ZI.GA;KUR;ZI,,,,,,
tēltu,L1088367,,,,noun,proverb;saying;pronunciation,,,403,,,,,,,,KA.KA.SI.GA,,,,,,
ṭênu,L1088368,,,,verb,grind,G,,414,,,,,,,ṭeānu,ARA₃;ARA₃.ARA₃,,,,,,
teslītu,L1088369,,,,noun,appeal;prayer,,,405,,,,,,,tešlītu;tašlītu;taṣlītu;teṣlītu,A.RA.ZU,,,,,,
tillu,L1088370,,,,noun,appendage;trappings,,,406,,,,,,,,,,,,,,
ṭimītu,L1088371,,,,noun,yam;twine,,,415,,,,,,,,NU.NU,,,,,,
ṭīdu,L1088372,,,,noun,clay;mud,,,414,,,,,,,ṭiṭṭu;ṭītu;ṭiddu;ṭittu,IM,,,,,,
tû,L1088373,,,,noun,incantation,,,408,,,,,,,,TU₆,,,yes,,,
ṭūbu,L1088374,,,,noun,goodness;happiness;prosperity;free will,,,415,,,,,,,ṭubbu,DUG₃.GA,,,,,,
tuqumtu,L1088375,,,,noun,battle,,,410,,,,,,,,GIŠ.LAL,,,,,,
turru,L1088376,,,,adj,turned,,,410,,,,,,,,,,,,,,
ṭurru,L1088377,,,,noun,binding;knot;bandage;feature on liver or lungs;band on doors,,,416,,,,,,,turru,DUR,,,,,,
udīni,L1088378,,,,adv,yet,,,418,,,,,,,udīna;uddīni;uddinna,,,,,,,
uliltu,L1088379,,,,noun,dried fig,,,420,,,,,,,,GIŠ.PEŠ₃.HAD₂.A,,,,,,
ullūtu,L1088380,,,,noun,garrison,,,421,,,,,,,,,,,,,,
ullûtu,L1088381,,,,noun,distant time,,,421,,,,,,,,,,,,,,
ultu maṣi,L1088382,,,,subconj,since;as if(?),,,200,,,,,,,,,,,,,,
umā,L1088383,,,,adv,now,,,421,,,,,,,,,,,,,,
ūma,L1088384,,,,adv,today;for a day,,,421,,,,,,,,,,,,,,
umṣu,L1088385,,,,noun,hunger,,,422,,,,,,,,,,,,,,
ūmu,L1088386,,,,noun,day,,,422,I,,,,,,,UD;ME,,,,,,
ūmu,L1088387,,,,noun,storm;storm-demon,,,423,II,,,,,,,,,,,,,
unqu,L1088388,,,,noun,ring;stamp-seal;sealed document,,,423,,,,,,,,ŠU.GUR,,,,,,
uppuqu,L1088389,,,,adj,solid,,,424,,,,,,,,,,,,,,
uqnû,L1088390,,,,noun,lapis lazuli,,,424,,,,,,,iqnû,NA₄.ZA.GIN₃,,,,,,
wardu,L1088391,,,,noun,slave;servant,,,434,,,,,,,urdu;aradu,IR₃;IR₁₁;SAG.IR₃,,,,,,
warkītu,L1088392,,,,noun,posterity;descendants;remainder,,,434,,,,,,,urkītu;urkittu,,,,,,,
urqītu,L1088393,,,,noun,vegetation,,,426,,,,,,,,U₂.ŠIM,,,,,,
wu''urtu,L1088394,,,,noun,commission;command,,,439,,,,,,,ûrtu,,,,,,,
uskāru,L1088395,,,,noun,crescent;crescent moon,,,428,,,,,,,usqāru;asqāru;ašqāru;askāru;aškāru,U₄.SAKAR,,,,,,
uššu,L1088396,,,,noun,foundation,,,429,I,,,,,,,URU₄;SUH,,,,,,
uṣṣuru,L1088397,,,,adj,drawn;decorated,,,428,I,,,,,,,,,,,,,
utukku,L1088398,,,,noun,an evil demon,,,430,,,,,,,,UDUG,,,,,,
uznu,L1088399,,,,noun,ear;wisdom;understanding,,,431,,,,,,,,GEŠTU;GEŠTU₂;GEŠTU₃,,,,,,
wabālu,L1088400,,,,verb,carry;bring,G,,432,,,,,,,abālu;ubālu;babālu,TUM₃;TUM₂,,,,,,
walādu,L1088401,,,,verb,give birth to,G,,433,,,,,,,ulādu;malādu,U₃.TU;TU,,,,,,
waqû,L1088402,,,,verb,wait for,G,,433,,,,,,,waqā'u,,,,,,,
warāšu,L1088403,,,,verb,be dirty,G,,433,,,,,,,arāšu;marāšu,,,,,,,
warhu,L1088404,,,,noun,month;moon,,,434,,,,,,,urhu;arhu,ITI;ITI.1.KAM,,,,,,
warkatu,L1088405,,,,noun,rear;buttocks;estate;arrears,,,434,,,,,,,arkatu,EGIR;A.GA,,,,,,
warkû,L1088406,,,,adj,rear;later,,,434,,,,,,,urkīu;urkû;arkû,EGIR,,,,,,
warqu,L1088407,,,,adj,yellow;green,,,434,,,,,,,urqu;erqu;arqu,SIG₇;SIG₇.SIG₇,,,,,,
wâru,L1088408,,,,verb,go up to;approach;confront,G,,435,,,,,,,âru;a'āru;ma'āru;mâru;wêru,,,,,,,
wašābu,L1088409,,,,verb,sit down;dwell,G,,435,,,,,,,ušābu,TUŠ,,,,,,
wasāmu,L1088410,,,,verb,be suitable,G,,435,,,,,,,,,,,,,,
waṣpu,L1088411,,,,noun,sling;catapult,,,435,,,,,,,aṣpu;waspu;aspu,,,,,,,
wašṭu,L1088412,,,,adj,stiff;difficult,,,436,,,,,,,,,,,,,,
waṣû,L1088413,,,,verb,go out,G,,435,,,,,,,waṣā'um;uṣā'u;uṣû,E₃;UD,,,,,,
zabālu,L1088414,,,,verb,carry;bear,G,,442,,,,,,,sabālu;ṣabālu;zebēlu,IL₂.IL₂;HE₂.IL₂.IL₂,,,,,,
zakāru,L1088415,,,,verb,speak;name;talk;swear,G,,442,,,,,,,saqāru;zaqāru,MU,,,,,,
zakû,L1088416,,,,adj,pure;clear,,,443,I,,,,,,zakiu,,,,,,,
zamāru,L1088417,,,,verb,sing (of),G,,444,II,,,,,,,ŠIR₃;DU₁₂,,,,,,
zamāru,L1088418,,,,noun,song,,,444,I,,,,,,,,,,,,,
zamû,L1088419,,,,noun,outer corner,,,444,,,,,,,azamû,,,,,,,
zanānu,L1088420,,,,verb,provision;provide for or with,G,,444,II,,,,,,,,,,,,,
zanānu,L1088421,,,,verb,rain,G,,444,,,,,,,,ŠUR,,,,,,
zaqātu,L1088422,,,,verb,sting,G,,444,,,,,,,,RA,,,,,,
zêru,L1088423,,,,verb,hate;reject,G,,446,,,,,,,zâru;ze'ēru;ze'ārum,,,,,,,
zi'pu,L1088424,,,,noun,mould for casting bronze; impression cast in clay;a skin disease,,,448,,,,,,,,,,,,,,
ziāqu,L1088425,,,,verb,blow;waft,G,,446,,,,,,,zâqu,RI,,,,,,
zibānu,L1088426,,,,pn,Libra,,,446,,,,,,,,MUL.GIŠ.ERIN₂,,,,,,
zibbatu,L1088427,,,,noun,tail,,,447,,,,,,,sibbatu;simbatu;zimbatu,KUN,,,,,,
zikru,L1088428,,,,noun,utterance;name,,,447,,,,,,,siqru;seqru,MU;NITA,,,,,,
zīmu,L1088429,,,,noun,face;appearance,,,447,,,,,,,,UZU.MUŠ₂,,,,,,
ziqtu,L1088430,,,,noun,sting;sharp point,,,448,,,,,,,,TAB,,,,,,
zīqu,L1088431,,,,noun,breeze;draft,,,448,,,,,,,sīqu;ziqqu,,,,,,,
zīqu,L1088432,,,,noun,torch,,,448,,,,,,,,,,,,,,
zunnu,L1088433,,,,noun,rain,,,448,,,,,,,,IM.ŠEG₃;ŠEG₃,,,,,,
enēnu,L1088434,,,,verb,grant favor,G,,73,I,,,,,,,,,,,,,
enēnu,L1088435,,,,verb,sin,G,,73,III,,,,,,,,,,,,,
enēnu,L1088436,,,,verb,pray,G,,73,IV,,,,,,,,,,,,,
Simānu,L1088780,,,,pn,third month of the Babylonian calendar,,,323,,,,,,,Simannu,ITI.SIG₄.A;ITI.SIG₄,,,,,,
Sin-ahhe-eriba,L1088781,,,,pn,king of Assyria (r. 704-681 BCE),,,,,,,,,,,,,,,,,
šūtu,L1088786,,,,pronoun,he;it,,,391,I,,,,,,,,,,,,,
Tišpak,L1088789,L1088789,,,pn,god of Ešnunna,,,,,,,14;64,,,,,,,,,,
Urartu,L1088791,,,,pn,Iron Age kingdom located in a large region around Lake Van,,,,,,,14;389,,,,,,,,,,
hammu,L1093364,,,,adj,gathered,,,,,H 58,,,,,,,,,,,,
kaspu,L1093372,,,,adj,broken off,,,,,K 241,,,,,,,,,,,,
šarru,L743580,L743580,,,noun,king,,,361,,,,,,,,LUGAL;MAN;BARA₂,,,,,,
šīmtu,L744375,,,,noun,destiny;what is fixed,,,373,,,,,,,šēmtu,NAM;NAM.TAR,,,,,,
šēdu,L744399,,,,noun,protective deity;luck,,,365,,,,,,,,DINGIR.ALAD;A.RA₂,,,,,,
ṭuppu,L744541,,,,noun,document;tablet,,,415,,,,,,,,DUB;IM.DUB;IM,,,,,,
ummu,L744636,,,,noun,mother,,,422,,,,,,,,AMA,,,,,,
zakû,L744677,,,,verb,be clear;be pure,G,,443,II,,,,,,zakā'u,LUH,,,,,,
šīru,L744887,,,,noun,flesh;body;entrails,,,377,,,,,,,šēru;širru,UZU;UZU.MEŠ,,,,,,
tinūru,L744912,,,,noun,oven,,,407,,,,,,,,IM.ŠU.RIN.NA;DILINA;DILINA₂;NINDU,,,,,,
zīqīqu,L746138,,,,noun,wind;phantom;nothingness,,,448,,,,,,,zāqīqu,,,,,,,
tāhāzu,L746145,,,,noun,battle,,,393,,,,,,,,,,,,,,
ṭupšarru,L748857,,,,noun,scribe,,,415,,,,,,,tupšarru,LU₂.DUB.SAR;LU₂.UMBISAG;LU₂.A.BA;LU₂.GI.BUR₃,,,,,,
ugāru,L748867,,,,noun,meadow,,,418,,,,,,,,A.ǦAR₃,,,yes,,,
ṣulūlu,L748873,,,,noun,shelter;canopy,,,341,,,,,,,,AN.DUL₃;DUL₃,,,,,,
šēpu,L748946,,,,noun,foot,,,367,,,,,,,šīpu,GIR₃,,,,,,
šēnu,L749223,,,,noun,sandal;shoe,,,367,,,,,,,,KUŠ.E.SIR₂;KUŠ.E.SIR,,,,,,
ummu,L749242,,,,noun,heat;fever,,,422,,,,,,,,KUM₂,,,,,,
ṣēru,L908087,,,,noun,back;steppe,,,336,,,,,,,,EDIN,,,,,,
dimtu,L908479,L908479,,,noun,tower,,,60,,,,,,,,AN.ZA.GAR₃,,,,,,
urbatu,L913066,,,,noun,rush,,,425,,,,,,,,U₂.NUMUN₂,,,,,,
unūtu,L940646,,,,noun,tools;household utensils,,,423,,,,,,,,NIG₂.GU₂.NA;A₂.KAR₂,,,,,,
tibnu,L940674,,,,noun,straw;chaff,,,405,,,,,,,,ŠE.IN.NU;ŠE.IN.NU.DA;ŠE.IN.NI,,,,,,
šeršerru,L942031,,,,noun,"link in chain;a feature of spleen, liver, etc.",,,368,,,,,,,šeršeru,,,,,,,
tāmartu,L960872,,,,noun,viewing;audience gift,,,396,,,,,,,,IGI.DU₈;IGI.LA₂;IGI.LAL₂,,,,,,
sippu,L998568,,,,noun,doorjamb;buttress in city wall;vertical member of table or bed;edges of 'palace gate' in liver,,,324,,,,,,,sibbu,ZAG.DU₈,,,,,,
gadmu,,,x,,adj,cut off,,,,,,,,,,,,,,,,,
hamṭu,L1093378,,,,adj,hot,,,,,H 71,,,,,,,,,,,,
ilāni,,,x,,,,,,,,,,,,,,,,,,,,
kašpu,L1093379,,,,adj,bewitched,,,,,K 284,,,,,,,,,,,,
kiṣru šatû,,,x,,,,,,,,,,,,,,,,,,,,
kummusu,L1093380,,,,verb,gather;consign corpse to tomb,D,,144,,,,,,,,,,,,,,
kuppuṣu,L1093381,,,,verb,make eyes squint;make bent (stative),,,147,II,,,,,,,,,,,,,
muddudu,L1093382,,,,verb,measure,D,,187,I,,,,,,,,,,,,,
nagarruru,L1093383,,,,verb,writhe;roll;meander,N,,285,,,,,,,,,,,,,,
naharmuṭu,L1093384,,,,adj,melted,,,,,N/1 126,,,,,,,,,,,,
naplusu,L1093385,,,,verb,see;look at,N,,262,,,,,,,,IGI.BAR,,,,,,
puhru,L1093386,,,,adj,gathered,,,,,P 23,,,,,,,,,,,,
qabû,L1093387,,,,adj,ordered;said,,,,,Q 22,,,,,,,,,,,,
rahṣu,L1093388,,,,adj,confident;reliant on,,,,,R 74,,,,,,,,,,,,
rammû,L1093389,,,,adj,released;made available,,,,,R 132,,,,,,,,,,,,
rašû,L1093390,,,,adj,acquired,,,,,R 193,,,,,,,,,,,,
ša panīti,,,x,,,,,,,,,,,,,,,,,,,,
ša pūtūni,,,x,,,,,,,,,,,,,,,,,,,,
sarmu,L1093391,,,,adj,cut open,,,,,S 172,,,,,,,,,,,,
šarru,L1093392,,,,adj,bent down;descended,,,,,Š/3 356,,,,,,,,,,,,
šedû,L1093394,,,,noun,sprout,,,365,,Š/2 256,A,,,,šēdu,GIŠ.ŠE.DU₃.A,,,L1092477,,,
šu'illakku,L1093395,,,,noun,prayer of raised hands,,,381,,,,,,,,ŠU.IL₂.LA₂;ŠU.IL₂.LA₂.KAM;ŠU.IL₂.LA₂.KAM₂,,,L741215,,,
šuharmuṭu,L1093396,,,,verb,cause to melt or dissolve,Š,,231,,,,,,,,,,,,,,
šulmudu,L1093397,,,,verb,cause someone to learn something,Š,,176,,,,,,,,,,,,,,
šūšibu,,,x,,,,,,,,,,,,,,,,,,,,
Teumann,,,x,,pn,king of Elam (r. 664-653 BCE),,,,,,,13;616,,,,,,,,,,
turru ana ašrīšu,L1093398,,,,verb phrase,restore,,,401,,,,,,,,,,,,,,
ubburu,L1093399,,,,verb,bind intensely;accuse someone,D,,2,,,,,,,,,,,,,,
uddušu,L1093400,,,,verb,renew;restore;resume,D,,66,,,,,,,,,,,,,,
urruku,L1083329,,,,verb,make long;be overdue,D,,22,,,,,,,,,,,,,,
zunnunu,L1093401,,,,verb,provision;provide for or with,D,,444,,,,,,,,,,,,,,
