magillu,noun,L749809
arrabu,noun,L749816
uhinnu,noun,L749843
nukurtu,noun,L750237
sandanaku,noun,L750242
ammammu,noun,L908084
pīru,noun,L908086
dālû,noun,L908140
anṣabtu,noun,L908478
ṣenu,noun,L913210
ibbissû,noun,L940496
kanagurru,noun,L940527
agubbû,noun,L940528
pāqidu,noun,L940647
atmu,noun,L940668
laplaptu,noun,L940683
muballittu,noun,L940698
maškanu,noun,L940700
alallû,noun,L941096
nudunnû,noun,L941147
puttû,noun,L941357
mešretu,noun,L941995
kamkammatu,noun,L942011
daprānu,noun,L942016
galamahhu,noun,L942059
kirmahhu,noun,L942066
papāhu,noun,L942081
pahāru,verb,L1086904
zabbilu,noun,L954980
simmiltu,noun,L960326
zabzabgû,noun,L967117
supālu,noun,L967595
nabāru,noun,L913354
pattaru,noun,L913774
zūtu,noun,L915517
igirû,noun,L940482
kiṣṣu,noun,L1086707
imtanû,noun,L940679
alālu,verb,L1086295
alaktu,noun,L749590
masabbu,noun,L749807
aklu,adjective,L1086291
lalānu,noun,L749962
barumtu,noun,L750037
ummānātu,noun,L908083
pinnāru,noun,L908443
iblakku,noun,L916502
liqtu,noun,L920671
hiddu,noun,L940509
itannu,noun,L940549
unūtu,noun,L940646
ibilu,noun,L941106
ṣarbatu,noun,L941109
surdû,noun,L941141
muthummu,noun,L941365
pilû,noun,L942010
didallu,noun,L942013
ṣubbutu,noun,L942020
ekkēmu,noun,L942055
riksu,noun,L1087052
kapsû,noun,L957145
kagurrû,noun,L962266
kigallu,noun,L962680
tanpahu,noun,L966176
qurqurru,noun,L969534
karpatu,noun,L970097
šuginû,noun,L971878
ṣululu,noun,L972139
šarrāqu,noun,L983479
marrāqu,noun,L983481
namṣāru,noun,L995984
ṣallallu,noun,L996071
lemuttu,noun,L997107
kīsu,noun,L997151
ušmedû,noun,L998529
ninkummu,noun,L1011465
dugānu,noun,L1013539
zibnu,noun,L1013892
eblu,noun,L1086416
tarbaṣu,noun,L1088360
tû,noun,L1088373
ṭūbu,noun,L1088374
uliltu,noun,L1088379
ṣupru,noun,L1088335
supû,noun,L1088336
tarbû,noun,L1088361
tillu,noun,L1088370
ullûtu,noun,L1088381
umṣu,noun,L1088385
ūmu,noun,L1088387
unqu,noun,L1088388
uqnû,noun,L1088390
wardu,noun,L1088391
warkītu,noun,L1088392
urqītu,noun,L1088393
wu''urtu,noun,L1088394
uskāru,noun,L1088395
uššu,noun,L1088396
utukku,noun,L1088398
uznu,noun,L1088399
warhu,noun,L1088404
warkatu,noun,L1088405
waṣpu,noun,L1088411
zamāru,verb,L1088417
zamû,noun,L1088419
ziqtu,noun,L1088430
zīmu,noun,L1088429
zīqu,noun,L1088432
zunnu,noun,L1088433
zi'pu,noun,L1088424
zibbatu,noun,L1088427
zikru,noun,L1088428
amūtu,noun,L1086304
alpu,noun,L1086298
amahhu,noun,L1086300
anqullu,noun,L1086308
anuntu,noun,L1086309
apsû,noun,L1086314
arallû,noun,L1086317
arītu,adjective,L1086320
askuppu,noun,L1086326
ašqulālu,noun,L1086327
ašru,noun,L1086328
asurrû,noun,L1086330
atappu,noun,L1086331
awātu,noun,L1086332
ayyābu,noun,L1086333
ayyalu,noun,L1086334
bābu,noun,L1086335
tâmtu,noun,L1084100
adaguru,noun,L1084119
teşētu,noun,L1084126
milu,noun,L1084531
agammu,noun,L1084632
naruqqu,noun,L1084643
ţābātu,noun,L1084650
kī,noun,L1084764
butuqtu,noun,L1084948
šuhhu,noun,L1084952
elallu,noun,L1084954
aslu,noun,L1084956
erşetu,noun,L1084962
namūtu,noun,L1084966
šuāru,noun,L1085798
têrtu,noun,L1085835
qinnāzu,noun,L1086060
dīnu,noun,L1086092
gabadibbu,noun,L1086118
ab abi,noun,L1086258
abru,noun,L1086263
abu,noun,L1086264
adānu,noun,L1086268
abattu,noun,L1086261
abnu,noun,L1086262
abūbu,noun,L1086265
adû,noun,L1086272
ahu,noun,L1086287
aguhhu,noun,L1086285
amurru,noun,L1086302
daddu,noun,L1086380
dalû,verb,L1086392
ekletu,noun,L1086420
emūqu,noun,L1086461
ennettu,noun,L1086465
erbu,noun,L1086478
hašû,noun,L1086573
hašhūru,noun,L1086572
barārītu,noun,L1086345
bārû,noun,L1086348
bašmu,noun,L1086350
batiqtu,noun,L1086352
bēl āli,noun,L1086354
bēru,noun,L1086359
bibbulu,noun,L1086360
biltu,noun,L1086361
binītu,noun,L1086362
dayyānu,noun,L1086401
birku,noun,L1086365
birqu,noun,L1086366
būlu,noun,L1086371
būrtu,noun,L1086374
būṣu,noun,L1086376
ēkallu,noun,L1086418
emdu,adjective,L1086431
daltu,noun,L1086390
damiqtu,noun,L1086395
dullu,noun,L1086406
e'iltu,noun,L1086411
eleppu,noun,L1086425
da'īmu,noun,L1086378
dadmû,noun,L1086381
birbirrū,noun,L1086363
dāmu,noun,L1086397
di'u,noun,L1086402
dādu,noun,L1086382
dannatu,noun,L1086399
dīšu,noun,L1086405
danānu,verb,L1093172
ebūru,noun,L1086417
bubūtu,noun,L1086370
būru,noun,L1086375
ešertu,noun,L1086496
epru,noun,L1086473
ermu,noun,L1086487
enūtu,noun,L1086469
eršahungû,noun,L1086489
eqel qašti,noun,L1086474
epertu,noun,L1086471
erēbu,verb,L1086480
erṣetu,noun,L1086490
eššēšu,noun,L1086500
erru,noun,L1086488
gaṣṣu,adjective,L1086515
gidimmu,noun,L1086520
erbû,noun,L1086479
ereqqu,noun,L1086482
ginû,noun,L1086523
gāgu,noun,L1086509
gallû,noun,L1086510
gipāru,noun,L1086524
gišallu,noun,L1086526
giskimmu,noun,L1086527
giṣṣu,noun,L1086529
gišparru,noun,L1086528
habātu,verb,L1086535
hadû,verb,L1086538
hallu,noun,L1086544
halluptu,noun,L1086546
halṣu,adjective,L1086548
hammu,adjective,L1093364
hargullu,noun,L1086565
harrānu,noun,L1086567
harurtu,noun,L1086568
karṣu,noun,L1086662
kalûtu,noun,L1086642
kandu,noun,L1086648
kappu,noun,L1086656
karšu,noun,L1086661
kaspu,adjective,L1093372
kasû,verb,L1086676
hilibû,noun,L1086584
himiltu,noun,L1086585
hubšu,noun,L1086587
hubūru,noun,L1086588
huliam,noun,L1086589
hurāṣu,noun,L1086590
idu,noun,L1086591
igāru,noun,L1086593
