term,LID,non-lexeme,questionable,lexical_category,sense,CDA_page,CAD_page,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic
gišallu,L1086526,,,noun,"rudder,boat-pole",94,,,,,,,,,,,
giskimmu,L1086527,,,noun,sign;omen,94,,,,,,,,,,,
gišparru,L1086528,,,noun,trap,94,,,,,,,,,,,
giṣṣu,L1086529,,,noun,thorn;thorn-bush,94,,,,,,,,,,,
gullubu,L1086530,,,verb,shear;shave,96,,,,,,,,,,,
gullubu,L1086531,,,adj,shaved,96,,,,,,,,,,,
habālu,L1086532,,,verb,borrow;owe,98,,,,,,,,,,,
habālu,L1086533,,,verb,do wrong;do wrong;harm;injustice;oppression;take away by force;wrong,98,,,,,,,,,,,
habātu,L1086534,,,noun,harm;injustice;oppression;take away by force,98,,,,,,,,,,,
habātu,L1086535,,,verb,"plunder,rob",99,,,,,,,,,,,
habtu,L1086536,,,adj,carried off;plundered one;plundered;robbed;stolen;taken captive,100,,,,,,,,,,,
hadādu,L1086537,,,verb,"roar,rustle",100,,,,,,,,,,,
hadû,L1086538,,,verb,be(come) glad;be(come) joyful,100,,,,,,,,,,,
hadû,L1086539,,,verb,cut off,100,,,,,,,,,,yes,
hadû,L1086540,,,noun,joy,100,,,,,,,,,,,
hadû,L1086541,,,adj,joyful,100,,,,,,,,,,,
halālu,L1086542,,,verb,slink,101,,,,,,,,,,,
halālu,L1086543,,,verb,pipe;murmur,101,,,,,,,,,,,
hallu,L1086544,,,noun,thigh,102,,,,,,,,,L643752,,
hallu,L1086545,,,noun,vinegar,102,,,,,,,,,,yes,
halluptu,L1086546,,,noun,armor,102,,,,,,,,,,,
halqu,L1086547,,,adj,lost;fugitive,102,,,,,,,,,,,
halṣu,L1086548,,,adj,filtered;combed,103,,,,,,,,,,,
halṣu,L1086549,,,noun,district;fortress,103,,,,,,,,,,,
hamāmu,L1086550,,,verb,gather;collect,103,,,,,,,,,,,
hamāṭu,L1086557,,,verb,hasten,103,,,,,,,,,,,
hamāṭu,L1086558,,,verb,burn (up),104,,,,,,,,,,,
hammu,L1086559,,,noun,family head,104,,,,,,,,,,,
hammu,,x,,adj,gathered,,,,,,,,,,,,
hammu,L1086560,,,noun,pond,104,,,,,,,,,,,
hamṭu,,x,,adj,flaming,,,,,,,,,,,,
hamṭu,,x,,adj,hot,,,,,,,,,,,,
hamṭu,L1086561,,,adj,quick,105,,,,,,,,,,,
hanābu,L1086562,,,verb,be(come) luxuriant,105,,,,,,,,,,,
hanāṣu,L1086563,,,verb,bare teeth,105,,,,,,,,,,,
harāšu,L1086564,,,verb,be in labor,107,,,,,,,,,,,
hargullu,L1086565,,,noun,locking ring,108,,,,,,,,,,,
Harran,L1086566,,,pn,city in northwestern Mesopotamia,,,4;122,,,,,,,,,
harrānu,L1086567,,,noun,road;caravan;expedition,108,,,,,,KASKAL,,,,,
harurtu,L1086568,,,noun,throat,109,,,,,,,,,,,
haṣānu,L1086569,,,verb,embrace;protect,110,,,,,,,,,,,
hašāšu,L1086570,,,verb,swell;be happy,111,,,,,,,,,,,
hašāšu,L1086571,,,verb,gather,111,,,,,,,,,,,
hašhūru,L1086572,,,noun,apple (tree),111,,,,,,,,,,,
hašû,L1086573,,,noun,lung(s),111,,,,,,MUR,,,,,
haṭāmu,L1086574,,,verb,block;muzzle,112,,,,,,,,,,,
hatānu,L1086575,,,verb,protect,112,H 148,,,,,,,,,,
hatāpu,L1086576,,,verb,slaughter,112,,,,,,,,,,,
haṭû,L1086577,,,adj,faulty;criminal,112,,,,,,,,,,,
haṭû,L1086578,,,verb,do wrong; commit crime,112,,,,,,,,,,,
hazāmu,L1086579,,,verb,mutilate,113,,,,,,,,,,,
hazannu,L1086580,,,noun,mayor,113,,,,,,,,,,,
hazmu,L1086581,,,adj,with mutilated ear,113,,,,,,,,,,,
herû,L1086582,,,verb,dig,114,,,,,,,,,,,
hiāṭu,L1086583,,,verb,examine;search out;supervise;weigh,114,,,,,,,,,,,
hilibû,L1086584,,,noun,underworld,115,,,,,,HI.LI.BA,,,L709283,,
himiltu,L1086585,,,noun,plan,116,,,,,,,,,,,
hubbulu,L1086586,,,adj,indebted,118,,,,,,,,habullu,,,
hubšu,L1086587,,,noun,dust;flotsam,118,,,,,,,,,,,
hubūru,L1086588,,,noun,noise,118,,,,,,,,,,,
huliam,L1086589,,,noun,helmet,119,,,,,,,,,,,
hulluqu,,x,,,,,,,,,,,,,,,
